# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  3 14:56:09 2024
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdelthmagerr:  Delta mag H-band (planet-host) Unc. [mag]
# COLUMN imdelthmaglim:  Delta mag H-band (planet-host) Limit Flag
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltjmagerr:  Delta mag J-band (planet-host) Unc. [mag]
# COLUMN imdeltjmaglim:  Delta mag J-band (planet-host) Limit Flag
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltkmagerr:  Delta mag K-band (planet-host) Unc. [mag]
# COLUMN imdeltkmaglim:  Delta mag K-band (planet-host) Limit Flag
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imdeltlpmagerr: Delta mag Lp-band (planet-host) Unc. [mag]
# COLUMN imdeltlpmaglim: Delta mag Lp-band (planet-host) Limit Flag
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imangseperr1:   Projected separation star-planet Upper Unc. [arcsec]
# COLUMN imangseperr2:   Projected separation star-planet Lower Unc. [arcsec]
# COLUMN imangseplim:    Projected separation star-planet Limit Flag
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imseperr1:      Projected separation star-planet Upper Unc. [au]
# COLUMN imseperr2:      Projected separation star-planet Lower Unc. [au]
# COLUMN imseplim:       Projected separation star-planet Limit Flag
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN imtrueseperr1:  True separation star-planet Upper Unc. [au]
# COLUMN imtrueseperr2:  True separation star-planet Lower Unc. [au]
# COLUMN imtrueseplim:   True separation star-planet Limit Flag
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN impaerr1:       Position angle star-planet Upper Unc. [deg]
# COLUMN impaerr2:       Position angle star-planet Lower Unc. [deg]
# COLUMN impalim:        Position angle star-planet Limit Flag
# COLUMN imdist:         Distance [pc]
# COLUMN imdisterr1:     Distance Upper Unc. [pc]
# COLUMN imdisterr2:     Distance Lower Unc. [pc]
# COLUMN imdistlim:      Distance Limit Flag
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imjmagerr:      Stellar Magnitude J-band Unc. [mag]
# COLUMN imjmaglim:      Stellar Magnitude J-band Limit Flag
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imhmagerr:      Stellar Magnitude H-band Unc. [mag]
# COLUMN imhmaglim:      Stellar Magnitude H-band Limit Flag
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imkmagerr:      Stellar Magnitude K-band Unc. [mag]
# COLUMN imkmaglim:      Stellar Magnitude K-band Limit Flag
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN imlpmagerr:     Stellar Magnitude Lp-band Unc. [mag]
# COLUMN imlpmaglim:     Stellar Magnitude Lp-band Limit Flag
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnjmagerr:   Planet Magnitude J-band Unc. [mag]
# COLUMN implnjmaglim:   Planet Magnitude J-band Limit Flag
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnhmagerr:   Planet Magnitude H-band Unc. [mag]
# COLUMN implnhmaglim:   Planet Magnitude H-band Limit Flag
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnkmagerr:   Planet Magnitude K-band Unc. [mag]
# COLUMN implnkmaglim:   Planet Magnitude K-band Limit Flag
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN implnlpmagerr:  Planet Magnitude Lp-band Unc. [mag]
# COLUMN implnlpmaglim:  Planet Magnitude Lp-band Limit Flag
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN immasserr1:     Stellar Mass Upper Unc. [solar mass]
# COLUMN immasserr2:     Stellar Mass Lower Unc. [solar mass]
# COLUMN immasslim:      Stellar Mass Limit Flag
# COLUMN image:          Stellar Age [My]
# COLUMN imageerr1:      Stellar Age Upper Unc. [My]
# COLUMN imageerr2:      Stellar Age Lower Unc. [My]
# COLUMN imagelim:       Stellar Age Limit Flag
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN imlumerr1:      Stellar Luminosity Upper Unc. [solar luminosity]
# COLUMN imlumerr2:      Stellar Luminosity Lower Unc. [solar luminosity]
# COLUMN imlumlim:       Stellar Luminosity Limit Flag
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implmasserr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN implmasserr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN implmasslim:    Planet Mass Limit Flag
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN impltemperr1:   Planet Temperature Upper Unc. [K]
# COLUMN impltemperr2:   Planet Temperature Lower Unc. [K]
# COLUMN impltemplim:    Planet Temperature Limit Flag
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN implradiuserr1: Planet Radius Upper Unc. [Jupiter radius]
# COLUMN implradiuserr2: Planet Radius Lower Unc. [Jupiter radius]
# COLUMN implradiuslim:  Planet Radius Limit Flag
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
2MASS J21402931+1625183 A b,21:40:29.32,325.1221590,16:25:18.3,16.42175900,0.93,1.24,0,9.500000000000e-01,1.240000000000e+00,0,7.400000000000e-01,1.230000000000e+00,0,,,,,,,,,,,,,,,,,,,,25.0,10.0,-10.0,0,,,,,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref>Konopacky et al. 2010</a>,0,0,0,1,70.48510,-26.4372550,13.32,1.230,0,12.66,1.230,0,12.27,1.23,0,,,,1.427000000000e+01,1.240000000000e+00,0,13.58,1.24,0,1.300000000000e+01,1.230000000000e+00,0,,,,,0.06,0.04,-0.04,0,,,,,0.0,0,0,0,73,3.100000000000e+01,-4.200000000000e+01,0,M8.5+L2,2075,70,-70,0,9.200000000000e-01,3.900000000000e-01,-3.600000000000e-01,0,"DUSTY, Chabrier et al. 2000",1,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.05430980,8.18,,0,8.590000000000e+00,,0,7.590000000000e+00,,0,,,,,,,,,,,,,,,,,,,,47.3,1.8,-1.7,0,VLT:Yepun,NACO,"2003-03-17, 2004-03-05, 2004-09-25",Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref>Chauvin et al. 2005</a>,0,1,0,1,266.94371,-26.9307986,7.58,0.030,0,7.09,0.030,0,6.98,0.03,0,,,,1.617000000000e+01,,0,15.27,,0,1.457000000000e+01,,0,,,,,,,,,30,,,0,,,,,13,,,0,"L1(+2,-1)",1513,,,0,,,,,Burrows et al (1997),1,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.06651310,7.70,0.30,0,,,,,,,,,,0.411,0.008,-0.008,0,7.9,0.2,0.2,0,,,,,,,,,19.2,0.2,-0.2,0,VLT:Yepun,NACO,2003-11-10,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2009A&A...493L..21L/abstract target=ref>Lagrange et al. 2009</a>,1,0,0,1,258.36388,-30.6116321,,,,,,,,,,3.50,,0,,,,11.20,0.30,0,,,,,,,A5V,1.80,,,0,12,8,-4,0,,,,,8,4.000000000000e+00,-2.000000000000e+00,0,,1400,,,0,,,,,"DUSTY, Chabrier et al. (2000)",1,
CFBDSIR J145829+101343 b,14:58:29.00,224.6208330,+10:13:43.0,10.22861110,2.33,0.19,0,1.800000000000e+00,3.500000000000e-01,0,2.200000000000e+00,3.800000000000e-01,0,,,,0.108,0.006,-0.006,0,2.6,0.3,-0.3,0,,,,,308.0,2.0,-2.0,0,23.1,2.4,-2.4,0,Keck:II,NIRC2,2010-07-08,,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref>Liu et al. 2011</a>,0,0,0,1,9.59419,55.6550909,19.86,0.070,0,20.18,0.100,0,20.63,0.24,0,,,,2.166000000000e+01,3.400000000000e-01,0,22.51,0.16,0,2.283000000000e+01,3.000000000000e-01,0,,,,T9.5,0.01,0.00,0.00,0,1000,,,0,0.0,0,0,0,7,1.500000000000e+00,-1.500000000000e+00,0,T10,350,40,-40,0,,,,,"TUCSON, Burrows et al. 1997",1,Model does not correspond with date observed. Model does correspond with the stellar age.
CHXR 73 b,11:06:28.77,166.6198930,-77:37:33.2,-77.62587700,5.20,,0,5.200000000000e+00,,0,4.700000000000e+00,,0,,,,1.300,0.030,-0.030,0,210.0,,,0,,,,,234.9,1.0,-1.0,0,161.5,0.0,0.0,0,Magellan:Clay,PANIC,2005-04-30,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref>Luhman et al. 2006</a>,0,0,0,1,297.27772,-15.9216421,12.70,0.300,0,11.30,0.300,0,10.80,0.25,0,,,,1.790000000000e+01,3.000000000000e-01,0,16.50,0.30,0,1.550000000000e+01,2.500000000000e-01,0,,,,M3.5,0.35,,,0,2,,,0,,,,,13,8.400000000000e+00,-5.200000000000e+00,0,M9.5,,,,,,,,,"Chabrier et al. (2000), Burrows et al. (1997)",1,
CT Cha b,11:04:09.09,166.0378770,-76:27:19.4,-76.45538300,,,,,,,6.289000000000e+00,3.000000000000e-01,0,,,,2.670,0.036,-0.036,0,440.0,,,0,,,,,300.7,1.2,-1.2,0,165.0,30.0,-30.0,0,VLT:Yepun,NACO,2006-02-17,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref>Schmidt et al. 2008</a>,0,0,0,1,296.65370,-14.9091413,9.71,0.024,0,,,,8.66,0.02,0,,,,,,,,,,1.495000000000e+01,3.000000000000e-01,0,,,,K7,0.70,,,0,2,2,-2,0,,,,,17,6.000000000000e+00,-6.000000000000e+00,0,M8-L0,2600,250,-250,0,2.200000000000e+00,8.100000000000e-01,-6.000000000000e-01,0,"DUSTY-Phoenix, Brott & Hauschild 2005, UCM, Tsuji 2005",1,"multiple mass estimates are listed in paper, but the author commits to the value given."
DH Tau b,04:29:41.56,67.4231580,+26:32:58.3,26.54952000,6.14,0.05,0,5.940000000000e+00,5.000000000000e-02,0,6.010000000000e+00,4.000000000000e-02,0,,,,2.300,,,0,330.0,,,0,,,,,,,,,140.0,15.0,-15.0,0,VLT:Melipal,SINFONI,"2007-10-22, 2007-12-18",Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2012A&A...540A..85P/abstract target=ref>Patience et al. 2012</a>,0,0,1,1,171.89951,-14.9387211,9.77,0.020,0,8.82,0.030,0,8.18,0.03,0,,,,1.571000000000e+01,5.000000000000e-02,0,14.96,0.04,0,1.419000000000e+01,2.000000000000e-02,0,,,,M0.5,0.33,,,0,2,1,-1,0,,,,,11,1.000000000000e+01,-3.000000000000e+00,0,L2,2700,,,0,2.700000000000e-01,7.000000000000e-02,-7.000000000000e-02,0,"Allard et al. (2000), Itoh et al. (2005)",1,
FU Tau b,04:23:35.74,65.8989080,+25:02:59.6,25.04989800,,,,,,,,,,,,,5.720,0.100,-0.100,0,800.8,0.1,-0.1,0,,,,,123.2,1.0,-1.0,0,140.0,,,0,UKIRT,,2005-12-31,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2009ApJ...691.1265L/abstract target=ref>Luhman et al. 2009</a>,1,0,0,2,172.11559,-16.9607887,,,,,,,,,,,,,,,,,,,1.333000000000e+01,2.000000000000e-02,0,,,,,,,,,,,,,,,,,16,,,0,M9.25,2375,,,0,,,,,Luhman et al. (2003),1,
GU Psc b,01:12:35.05,18.1460060,+17:03:55.6,17.06547500,8.10,0.04,0,7.090000000000e+00,4.000000000000e-02,0,8.055000000000e+00,4.000000000000e-02,0,,,,41.970,0.030,-0.030,0,2000.0,200.0,-200.0,0,,,,,,,,,48.0,5.0,-5.0,0,CFHT,WIRCam,"2011-10-10, 2011-12-26, 2011-12-28, 2011-12,29, 2012-09-07",AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref>Naud et al. 2014</a>,0,0,0,1,130.15233,-45.5095830,10.21,0.022,0,9.60,0.022,0,9.35,0.02,0,,,,1.812000000000e+01,3.000000000000e-02,0,17.70,0.03,0,1.740000000000e+01,3.000000000000e-02,0,,,,M3,,,,,100,30,-30,0,,,,,11,6.000000000000e-01,-6.000000000000e-01,0,T3.5,1050,50,-50,0,1.355000000000e+00,2.500000000000e-02,2.500000000000e-02,0,"cloudy, Saumon and Marley (2008)",1,
VHS J125601.92-125723.9 b,12:56:02.15,194.0089640,-12:57:21.7,-12.95603100,,,,,,,,,,,,,8.060,0.030,-0.030,0,102.0,9.0,-9.0,0,,,,,218.1,0.2,-0.2,0,12.7,1.0,-1.0,0,ESO:VISTA,VIRCAM,2011-07-01,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...96G/abstract target=ref>Gauza et al. 2015</a>,0,0,0,1,304.67118,49.9002002,11.36,,1,11.02,,1,10.42,,1,,,,1.713600000000e+01,2.000000000000e-02,0,15.78,0.01,0,1.466500000000e+01,1.000000000000e-02,0,,,,M7.5,0.07,0.02,-0.01,0,225,75,-75,0,,,,,11,9.700000000000e+00,-1.800000000000e+00,0,L7,880,140,-110,0,,,,,"this work, Gagne et al. (2014), Chauvin et al. (2005), McLean et al. (2003), Liu et al. (2013)",1,
WD 0806-661 b,08:06:53.75,121.7239020,-66:18:16.7,-66.30464980,,,,,,,,,,,,,130.200,0.200,-0.200,0,,,,,,,,,104.2,0.2,-0.2,0,19.2,0.6,-0.6,0,Spitzer,IRAC,"2004-12-15, 2009-08-24",,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730L...9L/abstract target=ref>Luhman et al. 2011</a>,0,0,0,1,279.42255,-17.5715768,,,,,,,,,,,,,,,,,,,,,,,,,DQ,0.62,0.03,-0.03,0,1500,500,-300,0,,,,,7,,,0,,300,,,0,,,,,"Burrows et al. (1997), Burrows et al. (2003)",1,Spitzer data were collected in 4.5 microns.
WISEP J121756.91+162640.2 A b,12:17:56.91,184.4871250,+16:26:40.2,16.44450000,2.20,0.04,0,2.100000000000e+00,2.000000000000e-02,0,2.160000000000e+00,1.300000000000e-01,0,,,,0.757,0.003,-0.003,0,8.0,1.3,-1.3,0,,,,,,,,,10.5,1.7,-1.7,0,Keck:II,NIRC2,2012-01-29,,<a href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...57L/abstract target=ref>Liu et al. 2012</a>,0,0,0,1,265.23847,76.7973725,17.98,0.020,0,18.31,0.050,0,18.94,0.04,0,,,,2.008000000000e+01,3.000000000000e-02,0,20.51,0.06,0,2.110000000000e+01,1.200000000000e-01,0,,,,T9,0.03,0.00,0.00,0,5000,,,0,,,,,20,2.000000000000e+00,-2.000000000000e+00,0,Y0,470,30,-30,0,,,,,Lyon/COND models and M(J),1,"Different angular separations and position angles are listed for each filter, for data obtained on the same night. The H-band separation and position angles are shown here."
LkCa 15 b,04:39:17.79,69.8241480,+22:21:03.4,22.35096700,,,,,,,,,,5.400000000000e+00,4.900000000000e+00,0,0.106,0.081,-0.019,0,14.7,2.1,-2.1,0,,,,,260.0,21.0,-16.0,0,,,,,LBT,NRM,2014-12-15,,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.68970,-15.9816355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
LkCa 15 c,04:39:17.79,69.8241480,+22:21:03.4,22.35096700,,,,,,,,,,4.800000000000e+00,4.300000000000e+00,0,0.068,0.037,-0.043,0,18.6,2.5,-2.7,0,,,,,316.0,16.0,-21.0,0,,,,,LBT,NRM,"2015-02-05, 2015-02-06, 2015-02-07",,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.68970,-15.9816355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
2MASS J02192210-3925225 b,02:19:22.11,34.8421060,-39:25:22.5,-39.42292800,3.77,0.10,0,4.219000000000e+00,1.030000000000e-01,0,3.376000000000e+00,1.030000000000e-01,0,,,,3.960,0.020,-0.020,0,156.0,10.0,-10.0,0,,,,,173.9,0.2,-0.2,0,39.4,2.6,-2.6,0,CTIO:1.5m,SIMON,2013-11-05,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,0,0,0,1,252.45377,-67.9844531,11.32,0.026,0,10.86,0.027,0,10.44,0.03,0,,,,1.554000000000e+01,1.000000000000e-01,0,14.63,0.10,0,1.382000000000e+01,1.000000000000e-01,0,,,,M6,0.36,0.04,-0.04,0,120,10,-10,0,0.0,0,0,0,14,1.100000000000e+00,-1.100000000000e+00,0,L4,,,,,,,,,"BT-Settl, Allard et al. 2014",1,
TYC 8998-760-1 b,13:25:12.13,201.3005420,-64:56:20.69,-64.93908060,,,,,,,,,,,,,1.710,,,0,162.0,,,0,,,,,,,,,94.6,0.3,-0.3,0,"VLT:Antu, VLT:Melipal","NACO, SPHERE","2017-07-05, 2019-03-17, 2019-03-23, 2019-05-18",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,0,0,0,1,306.49970,-2.3014173,,,,,,,,,,,,,,,,,,,,,,,,,K3 IV,1.00,0.02,-0.02,0,17,1,-1,0,0.5,0,0,0,14,3.000000000000e+00,-3.000000000000e+00,0,L0,1727,172,-127,0,3.000000000000e+00,2.000000000000e-01,-7.000000000000e-01,0,"BT-Settl (Allard et al. 2012), AMES/DUSTY (Allard et al. 2001; Chabrier et al. 2000)",1,"Projected separation star-planet and position angle star-planet are the average across the J, H, Ks, and L' band"
2MASS J01033563-5515561 AB b,01:03:35.63,15.8984583,-55:15:56.1,-55.26558330,,,,,,,,,,,,,1.784,0.003,-0.003,0,84.0,,,0,,,,,339.3,0.0,0.0,0,47.2,3.1,-3.1,0,VLT:Antu,NACO,2012-11-25,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,0,0,0,2,299.26975,-61.7760661,10.73,0.080,0,10.15,0.080,0,9.81,0.08,0,,,,1.540000000000e+01,3.000000000000e-01,0,14.20,0.20,0,1.360000000000e+01,2.000000000000e-01,0,1.260000000000e+01,1.000000000000e-01,0,M5.5/M6,0.19,0.02,-0.02,0,30,,,0,,,,,13,1.000000000000e+00,-1.000000000000e+00,0,,,,,,,,,,BT-Settl (Allard et al. 2012; Baraffe et al. 2003),1,Companion magnitude measurements derived relative to 2MASS0103A; Ks filter used
